symbol,security_id,company_name,nse_industry,is_defence,fno_lot_size
360ONE,13061,360 ONE WAM Ltd.,Financial Services,false,500
ABB,13,ABB India Ltd.,Capital Goods,false,125
ABCAPITAL,21614,Aditya Birla Capital Ltd.,Financial Services,false,3100
ADANIENSOL,10217,Adani Energy Solutions Ltd.,Power,false,675
ADANIENT,25,Adani Enterprises Ltd.,Metals & Mining,false,309
ADANIGREEN,3563,Adani Green Energy Ltd.,Power,false,600
ADANIPORTS,15083,Adani Ports and Special Economic Zone Ltd.,Services,false,475
ADANIPOWER,17388,Adani Power Ltd.,Power,false,3550
ALKEM,11703,Alkem Laboratories Ltd.,Healthcare,false,125
AMBER,1185,Amber Enterprises India Ltd.,Consumer Durables,false,100
AMBUJACEM,1270,Ambuja Cements Ltd.,Construction Materials,false,1200
ANGELONE,324,Angel One Ltd.,Financial Services,false,2500
APLAPOLLO,25780,APL Apollo Tubes Ltd.,Capital Goods,false,350
APOLLOHOSP,157,Apollo Hospitals Enterprise Ltd.,Healthcare,false,125
ASHOKLEY,212,Ashok Leyland Ltd.,Capital Goods,false,5000
ASIANPAINT,236,Asian Paints Ltd.,Consumer Durables,false,250
ASTRAL,14418,Astral Ltd.,Capital Goods,false,425
ATHERENERG,757645,Ather Energy Ltd.,Automobile and Auto Components,false,375
AUBANK,21238,AU Small Finance Bank Ltd.,Financial Services,false,1000
AUROPHARMA,275,Aurobindo Pharma Ltd.,Healthcare,false,550
AXISBANK,5900,Axis Bank Ltd.,Financial Services,false,625
BAJAJ-AUTO,16669,Bajaj Auto Ltd.,Automobile and Auto Components,false,75
BAJAJFINSV,16675,Bajaj Finserv Ltd.,Financial Services,false,300
BAJAJHLDNG,305,Bajaj Holdings & Investment Ltd.,Financial Services,false,75
BAJFINANCE,317,Bajaj Finance Ltd.,Financial Services,false,750
BANDHANBNK,2263,Bandhan Bank Ltd.,Financial Services,false,3600
BANKBARODA,4668,Bank of Baroda,Financial Services,false,2925
BANKINDIA,4745,Bank of India,Financial Services,false,5200
BDL,2144,Bharat Dynamics Ltd.,Capital Goods,true,425
BEL,383,Bharat Electronics Ltd.,Capital Goods,true,1425
BHARATFORG,422,Bharat Forge Ltd.,Automobile and Auto Components,true,500
BHARTIARTL,10604,Bharti Airtel Ltd.,Telecommunication,false,475
BHEL,438,Bharat Heavy Electricals Ltd.,Capital Goods,false,2625
BIOCON,11373,Biocon Ltd.,Healthcare,false,2500
BLUESTARCO,8311,Blue Star Ltd.,Consumer Durables,false,325
BOSCHLTD,2181,Bosch Ltd.,Automobile and Auto Components,false,25
BPCL,526,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,false,1975
BRITANNIA,547,Britannia Industries Ltd.,Fast Moving Consumer Goods,false,125
BSE,19585,BSE Ltd.,Financial Services,false,200
CAMS,342,Computer Age Management Services Ltd.,Financial Services,false,825
CANBK,10794,Canara Bank,Financial Services,false,6750
CDSL,21174,Central Depository Services (India) Ltd.,Financial Services,false,475
CGPOWER,760,CG Power and Industrial Solutions Ltd.,Capital Goods,false,850
CHOLAFIN,19257,Cholamandalam Investment and Finance Company Ltd.,Financial Services,false,625
CIPLA,694,Cipla Ltd.,Healthcare,false,425
COALINDIA,20374,Coal India Ltd.,Oil Gas & Consumable Fuels,false,1350
COCHINSHIP,21508,Cochin Shipyard Ltd.,Capital Goods,true,400
COFORGE,11543,Coforge Ltd.,Information Technology,false,475
COLPAL,15141,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,false,275
